Id,Name,2026-09-01 23:06:25,2026-09-02 08:14:42,2026-09-02 22:31:36,2026-09-03 08:14:32,2026-09-03 22:29:59,2026-09-04 08:11:07,2026-09-04 22:24:55,2026-09-05 07:58:06,2026-09-05 21:33:09,2026-09-06 07:46:19,2026-09-06 21:48:45
73952732,ASRock B850M Pro RS WiFi 에즈윈,"208,000","208,000","208,000","208,000",0,"208,000","208,000","208,000",0,"208,000","208,000"
75538394,ASRock B850M Pro RS 대원씨티에스,"196,990","196,990","197,000","197,000",0,"196,990","196,990","196,990",0,"196,990","196,990"
75600842,ASRock B850M Pro RS 디앤디컴,"198,490","198,490","198,470","198,470",0,"198,510","198,510","198,490",0,"198,490","198,450"
73952729,ASRock B850M Pro RS 에즈윈,"203,700","203,700","203,680","203,680",0,"196,260","200,500","198,000",0,"200,500","200,500"
75540665,ASRock B850M Pro-A WiFi 대원씨티에스,"180,990","180,990","185,000","185,000",0,"184,990","184,990","184,990",0,"184,990","184,990"
79553249,ASRock B850M Pro-A WiFi 디앤디컴,"178,630","178,630","178,620","178,630",0,"178,650","178,640","178,620",0,"178,620","178,580"
74341325,ASRock B850M Pro-A WiFi 에즈윈,"193,140","191,370","191,370","182,000",0,"182,000","182,000","182,000",0,"182,000","182,000"
75538754,ASRock B850M Pro-A 대원씨티에스,"229,000","229,000","229,000","229,000",0,"229,000","229,000","229,000",0,"229,000","229,000"
75724184,ASRock B850M Pro-A 디앤디컴,"161,780","161,780","161,750","161,750",0,"161,630","161,610","161,580",0,"161,580","161,540"
74341163,ASRock B850M Pro-A 에즈윈,"161,790","161,790","161,790","161,790",0,"161,790","161,790","161,790",0,"161,790","161,790"
77705072,ASRock B850M Riptide WiFi 대원씨티에스,"249,660","249,660","247,060","247,060",0,"247,050","247,050","247,050",0,"247,050","247,050"
107960645,ASRock B850M Rock WiFi 대원씨티에스,"178,230","178,230","178,230","178,230",0,"178,220","178,220","178,220",0,"178,220","178,220"
122694865,ASRock B850M Rock WiFi 디앤디컴,"191,060","191,060","191,060","191,060",0,"192,220","192,200","192,180",0,"192,160","192,100"
106717577,ASRock B850M Rock WiFi 에즈윈,"189,050","189,050","187,060","187,060",0,"187,060","187,060","187,060",0,"187,060","187,060"
77704688,ASRock B850M 스틸레전드 WiFi 대원씨티에스,"240,340","240,340","237,830","237,830",0,"237,820","237,820","237,820",0,"237,820","237,820"
78102476,ASRock B850M 스틸레전드 WiFi 디앤디컴,"219,450","219,460","219,450","219,460",0,"219,470","219,450","219,430",0,"219,430","219,390"
74341418,ASRock B850M 스틸레전드 WiFi 에즈윈,"229,000","229,000","229,000","229,000",0,"229,000","229,000","229,000",0,"229,000","229,000"
79556738,ASRock B850M-X R2.0 대원씨티에스,"155,990","155,990","156,000","156,000",0,"155,990","155,990","155,990",0,"155,990","155,990"
79553456,ASRock B850M-X R2.0 디앤디컴,"147,450","147,450","146,020","147,450",0,"151,360","146,020","148,390",0,"148,390","148,350"
82093181,ASRock B850M-X R2.0 에즈윈,"154,200","154,200","154,200","154,200",0,"154,200","154,200","154,200",0,"154,200","154,200"
74341787,ASRock B850M-X 디앤디컴,"147,390","147,390","147,390","147,390",0,"147,390","147,390","147,390",0,"147,390","147,390"
6145461,ASRock B85M (중고),"19,310","19,310","19,310","19,310",0,"19,310","19,310","19,310",0,"19,310","19,310"
5994057,ASRock B85M PRO4 (중고),"34,490","34,490",0,0,0,0,0,0,0,0,0
